stage_id,frame,input_mm_day,norm,fog_baseline_mm_day,fog_baseline_norm,scaled,high_variation,variation_threshold
shasta,42,0.14023710848489132,0.0065844926566662534,0.05,0.0023476285014018402,1.3168985313332506,0,0.04709076954064801
shasta,43,0.10997716843819441,0.005163710702579521,0.05,0.0023476285014018402,1.032742140515904,0,0.04709076954064801
shasta,44,0.0834608849150007,0.00391870304357349,0.05,0.0023476285014018402,0.7837406087146981,0,0.04709076954064801
shasta,45,0.0600832225175723,0.0028210617127664315,0.05,0.0023476285014018402,0.5642123425532863,0,0.04709076954064801
shasta,46,0.3202076130037699,0.015034570373070013,0.05,0.0023476285014018402,3.0069140746140026,0,0.04709076954064801
shasta,47,0.7953552996384328,0.037343975403443704,0.05,0.0023476285014018402,7.468795080688741,0,0.04709076954064801
shasta,48,1.2746785212792615,0.05984943253359892,0.05,0.0023476285014018402,11.969886506719785,0,0.04709076954064801
shasta,49,1.756862757646533,0.08248922165804867,0.05,0.0023476285014018402,16.497844331609734,0,0.04709076954064801
shasta,50,1.8337261383861914,0.08609815492481915,0.05,0.0023476285014018402,17.21963098496383,0,0.04709076954064801
shasta,51,1.6601913016492227,0.0779502483506227,0.05,0.0023476285014018402,15.59004967012454,0,0.04709076954064801
shasta,52,1.506878519378713,0.07075181920487343,0.05,0.0023476285014018402,14.150363840974686,0,0.04709076954064801
shasta,53,1.3648002118117895,0.0640808775193725,0.05,0.0023476285014018402,12.816175503874499,0,0.04709076954064801
shasta,54,1.2399151074301313,0.05821720091043402,0.05,0.0023476285014018402,11.643440182086803,0,0.04709076954064801
