t,chair,accX,accY,accZ,gyroX,gyroY,gyroZ,temp,stdX,stdY,stdZ,big,n,touch,tbase,up,seq,flags,rssi,is_occupied,occupied_chairs,n_occupied,block,label,target_chair,is_target,is_transition,phase_idx,t_phase_start
1785362236.667,6,5688,13640,7245,-323,-325,-61,-896,30,15,15,0,100,1995,1979,41,19688,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.688,1,5694,14966,101,105,195,-91,-2272,12,13,9,0,100,2162,2128,142,2890,7,-54,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.759,7,1275,256,-16397,244,-160,157,-2064,15,16,15,0,100,2027,2019,19,9373,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.784,3,1889,-78,-17929,-192,206,120,-928,17,14,10,0,100,2031,2013,46,22291,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.784,2,496,1390,-16959,-1248,-669,55,-2128,10,10,11,0,100,2057,2034,129,62348,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.784,5,1827,-783,-15658,75,-15,-124,-1296,9,11,10,0,100,2327,2303,42,20528,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.807,6,5686,13635,7243,-324,-325,-60,-864,30,14,14,0,100,1995,1979,41,19689,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.830,1,5694,14966,102,104,195,-90,-2224,12,13,9,0,100,2162,2128,142,2891,7,-55,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.878,7,1274,260,-16386,244,-159,158,-2016,15,14,15,0,100,2028,2019,19,9374,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.903,4,1623,-19,-16283,326,22,232,-1856,11,10,11,0,100,2120,2099,44,21398,7,-67,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.903,3,1892,-79,-17928,-191,206,119,-896,17,14,10,0,100,2031,2013,46,22292,7,-49,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.903,2,495,1391,-16959,-1247,-670,55,-2144,10,11,10,0,100,2057,2034,129,62349,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.927,6,5687,13634,7240,-323,-325,-60,-880,31,14,15,0,100,1994,1979,41,19690,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362236.947,1,5694,14968,100,103,194,-90,-2224,12,13,9,0,100,2163,2128,142,2892,7,-54,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.018,7,1275,260,-16386,243,-159,158,-2032,15,15,15,0,100,2027,2019,19,9375,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.019,4,1624,-21,-16279,326,21,231,-1872,11,11,11,0,100,2120,2099,44,21399,7,-67,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.019,3,1891,-78,-17927,-190,206,120,-928,17,13,10,0,100,2032,2013,46,22293,7,-51,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.019,2,495,1392,-16963,-1247,-671,55,-2112,10,10,11,0,100,2057,2034,129,62350,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.043,5,1828,-781,-15650,76,-13,-124,-1312,11,13,11,0,100,2326,2303,42,20530,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.043,6,5686,13636,7238,-324,-325,-60,-880,29,14,15,0,100,1996,1979,41,19691,7,-62,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.068,1,5692,14969,94,104,194,-90,-2240,11,13,8,0,100,2163,2128,142,2893,7,-53,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.135,7,1274,259,-16389,245,-159,158,-2016,14,15,15,0,100,2027,2019,19,9376,7,-62,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.135,4,1624,-22,-16282,325,22,230,-1872,11,11,10,0,100,2120,2099,44,21400,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.136,3,1890,-72,-17931,-190,207,119,-880,17,14,10,0,100,2030,2013,46,22294,7,-49,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.159,2,496,1392,-16966,-1246,-671,54,-2144,10,10,11,0,100,2057,2034,129,62351,7,-51,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.159,5,1831,-784,-15651,76,-13,-124,-1312,11,13,10,0,100,2328,2303,42,20531,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.159,6,5685,13634,7234,-324,-325,-62,-896,27,13,15,0,100,1996,1979,41,19692,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.184,1,5695,14964,91,105,194,-90,-2272,11,12,9,0,100,2162,2128,142,2894,7,-55,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.255,7,1275,262,-16385,244,-159,159,-2032,14,16,15,0,100,2028,2019,19,9377,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.281,4,1625,-23,-16282,325,22,230,-1824,11,11,11,0,100,2121,2099,44,21401,7,-64,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.281,3,1888,-71,-17931,-188,207,118,-944,15,15,10,0,100,2030,2013,46,22295,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.281,2,492,1393,-16960,-1248,-670,54,-2144,11,10,11,0,100,2056,2034,129,62352,7,-51,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.281,5,1826,-787,-15648,77,-12,-123,-1312,11,13,11,0,100,2325,2303,42,20532,7,-67,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.301,6,5681,13635,7238,-325,-326,-62,-848,31,13,16,0,100,1996,1979,41,19693,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.322,1,5695,14960,87,105,194,-90,-2224,11,12,9,0,100,2162,2128,142,2895,7,-56,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.393,7,1274,261,-16391,244,-159,159,-2000,14,15,14,0,100,2028,2019,19,9378,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.394,4,1626,-23,-16283,324,22,231,-1856,11,11,11,0,100,2122,2099,44,21402,7,-64,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.394,3,1888,-71,-17924,-189,207,118,-944,15,15,10,0,100,2031,2013,46,22296,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.419,5,1825,-788,-15654,78,-11,-123,-1296,11,12,10,0,100,2327,2303,42,20533,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.419,6,5681,13636,7236,-324,-326,-61,-880,32,14,14,0,100,1995,1979,41,19694,7,-62,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.444,1,5692,14958,80,105,194,-90,-2256,11,11,9,0,100,2161,2128,142,2896,7,-56,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.516,7,1275,263,-16398,243,-159,158,-2016,14,15,14,0,100,2028,2019,19,9379,7,-62,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.516,4,1621,-24,-16285,324,21,230,-1840,11,11,11,0,100,2121,2099,44,21403,7,-64,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.516,3,1887,-72,-17927,-189,207,118,-912,15,16,11,0,100,2031,2013,46,22297,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.537,5,1823,-785,-15653,78,-10,-123,-1328,11,11,10,0,100,2326,2303,42,20534,7,-67,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.631,7,1271,263,-16400,242,-159,158,-2048,13,14,14,0,100,2027,2019,19,9380,7,-62,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.631,4,1625,-24,-16291,324,20,231,-1840,11,11,11,0,100,2121,2099,44,21404,7,-63,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.656,3,1888,-66,-17930,-189,208,119,-896,13,15,11,0,100,2031,2013,46,22298,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.656,2,490,1389,-16957,-1249,-670,53,-2144,11,11,11,0,100,2057,2034,129,62355,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.656,5,1821,-788,-15651,79,-9,-123,-1344,11,10,11,0,100,2327,2303,42,20535,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.681,6,5683,13632,7241,-324,-327,-62,-880,30,14,15,0,100,1997,1979,41,19696,7,-62,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.776,7,1271,263,-16410,242,-159,158,-2000,12,15,13,0,100,2028,2019,19,9381,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.776,4,1627,-22,-16291,324,20,231,-1856,11,11,11,0,100,2121,2099,44,21405,7,-64,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.776,3,1884,-64,-17927,-189,208,119,-960,13,16,10,0,100,2031,2013,46,22299,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.776,2,487,1390,-16960,-1248,-671,53,-2144,11,11,11,0,100,2056,2034,129,62356,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.776,5,1821,-790,-15650,78,-10,-124,-1344,12,10,11,0,100,2328,2303,42,20536,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.802,6,5682,13631,7239,-325,-327,-63,-864,30,14,15,0,100,1997,1979,41,19697,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.826,1,5690,14960,77,106,194,-90,-2256,12,11,10,0,100,2162,2128,142,2899,7,-56,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.901,4,1629,-22,-16293,324,20,232,-1824,11,12,11,0,100,2121,2099,44,21406,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.901,3,1884,-65,-17929,-188,209,120,-928,13,15,11,0,100,2030,2013,46,22300,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.901,2,489,1388,-16959,-1249,-670,53,-2112,10,10,11,0,100,2056,2034,129,62357,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.925,5,1821,-791,-15654,78,-11,-125,-1312,11,10,10,0,100,2327,2303,42,20537,7,-67,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.925,6,5677,13634,7242,-326,-326,-62,-880,29,14,15,0,100,1996,1979,41,19698,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362237.947,1,5696,14954,84,107,194,-90,-2256,11,11,10,0,100,2162,2128,142,2900,7,-56,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.017,7,1271,264,-16413,243,-159,158,-2048,13,15,13,0,100,2028,2019,19,9383,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.017,4,1631,-22,-16292,324,21,232,-1840,11,12,11,0,100,2121,2099,44,21407,7,-64,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.017,3,1880,-67,-17931,-189,208,118,-928,13,15,11,0,100,2031,2013,46,22301,7,-51,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.017,2,483,1388,-16959,-1249,-668,53,-2128,11,10,11,0,100,2055,2034,129,62358,7,-50,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.038,5,1821,-790,-15657,78,-11,-125,-1312,11,10,10,0,100,2326,2303,42,20538,7,-66,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.038,6,5675,13630,7247,-326,-326,-62,-896,29,14,16,0,100,1996,1979,41,19699,7,-59,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.134,7,1274,268,-16407,243,-159,158,-2000,13,15,12,0,100,2028,2019,19,9384,7,-61,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.134,4,1630,-23,-16286,325,21,233,-1856,11,12,11,0,100,2121,2099,44,21408,7,-65,0,,0,A,empty,,0,0,0,1785362235.156
1785362238.157,2,483,1390,-16960,-1249,-669,53,-2128,10,11,11,0,100,2056,2034,129,62359,7,-49,0,,0,A,empty,,0,0,0,1785362235.156
