# river=delta model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USW00023237 station_name=STOCKTON_AIRPORT,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00223477 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
253	7.6201	0.291299	58.2598	0
254	7.0464	0.270626	54.1251	0
255	6.4678	0.249494	49.8987	0
256	5.8684	0.226401	45.2802	0
257	5.2923	0.204206	40.8412	0
258	4.8016	0.185299	37.0598	0
259	4.3321	0.167212	33.4424	0
260	3.9304	0.151734	30.3468	0
261	3.5479	0.136996	27.3992	0
262	3.2191	0.124325	24.8651	0
263	3.0134	0.116569	23.3138	0
264	3.1116	0.120934	24.1868	0
265	3.8707	0.153377	30.6754	0
266	6.0791	0.247395	49.4790	0
267	8.3776	0.337572	67.5143	0
268	10.8526	0.420222	84.0444	0
269	12.1465	0.463390	92.6781	1
270	11.3645	0.437167	87.4335	1
271	10.8911	0.424492	84.8985	1
272	10.9056	0.433245	86.6490	1
273	10.8327	0.438783	87.7566	1
274	10.6350	0.439734	87.9468	1
275	10.5432	0.443630	88.7260	0
276	10.5879	0.451323	90.2646	0
277	10.2376	0.439234	87.8468	0
278	9.4265	0.404066	80.8131	0
279	8.7442	0.374191	74.8381	0
280	8.1983	0.349908	69.9816	0
281	7.5689	0.322488	64.4977	0
282	6.8596	0.292066	58.4133	0
283	6.2117	0.264388	52.8775	0
284	5.6170	0.239086	47.8172	0
285	5.0828	0.216355	43.2710	0
286	4.5959	0.195640	39.1280	0
287	4.1586	0.177028	35.4057	0
288	3.7564	0.159908	31.9815	0
289	3.3916	0.144349	28.8697	0
290	3.0505	0.129789	25.9577	0
291	2.7362	0.116566	23.3131	0
292	2.4373	0.104112	20.8225	0
293	2.1897	0.093745	18.7490	0
294	1.9686	0.084455	16.8910	0
295	1.7819	0.076526	15.3051	0
296	1.6110	0.069225	13.8450	0
297	1.4635	0.062940	12.5879	0
298	1.3257	0.057072	11.4143	0
299	1.2059	0.051952	10.3905	0
300	1.0926	0.047105	9.4210	0
301	0.9946	0.042892	8.5785	0
302	0.9014	0.038882	7.7764	0
303	0.8215	0.035441	7.0882	0
304	0.7452	0.032158	6.4316	0
305	0.6757	0.029177	5.8355	0
306	0.6077	0.026269	5.2538	0
307	0.5238	0.022677	4.5354	0
308	0.4366	0.018948	3.7895	0
309	0.3546	0.015765	3.1529	0
310	0.2734	0.012673	2.5346	0
311	0.2420	0.011293	2.2585	0
312	0.2173	0.010142	2.0284	0
313	0.1882	0.008754	1.7509	0
314	0.1586	0.007342	1.4685	0
315	0.1371	0.006301	1.2601	0
316	0.1163	0.005286	1.0572	0
317	0.0960	0.004430	0.8860	0
318	0.0756	0.003581	0.7162	0
319	0.0711	0.003388	0.6777	0
320	0.0668	0.003209	0.6417	0
321	0.0620	0.003037	0.6074	0
322	0.0573	0.002871	0.5743	0
323	0.0574	0.002899	0.5799	0
324	0.0575	0.002926	0.5852	0
325	0.0575	0.002926	0.5851	0
326	0.0575	0.002923	0.5846	0
327	0.0571	0.002893	0.5787	0
328	0.0953	0.004408	0.8816	0
329	0.4640	0.019171	3.8342	0
330	0.8834	0.036343	7.2686	0
331	1.6444	0.069765	13.9531	0
332	2.5809	0.107972	21.5943	0
333	4.4830	0.172491	34.4981	0
334	6.0142	0.224601	44.9202	0
335	5.8392	0.219631	43.9262	0
336	5.8884	0.223237	44.6474	0
337	6.8164	0.260449	52.0898	0
338	7.6990	0.295167	59.0334	0
339	8.4277	0.321439	64.2877	0
340	9.9618	0.368598	73.7196	0
341	13.8772	0.477513	95.5026	1
342	17.6269	0.581725	116.3450	1
343	20.9451	0.673692	134.7384	1
344	23.1101	0.742310	148.4619	1
345	22.6124	0.757010	151.4021	1
346	23.1001	0.797649	159.5299	1
347	25.6167	0.891691	178.3382	1
348	27.7422	0.955724	191.1449	1
349	29.1469	0.964432	192.8863	1
350	29.6257	0.967378	193.4757	1
351	28.5706	0.960780	192.1560	1
352	27.2350	0.938878	187.7756	1
353	25.4809	0.894125	178.8250	0
354	23.8096	0.848486	169.6971	0
355	22.2500	0.801651	160.3302	1
356	20.6106	0.746989	149.3978	1
357	18.8738	0.682781	136.5562	0
358	17.1873	0.621020	124.2040	0
359	15.5561	0.561960	112.3920	1
360	14.2232	0.515871	103.1743	1
361	13.1886	0.482755	96.5510	1
362	13.2953	0.494708	98.9417	1
363	14.4358	0.547484	109.4968	1
364	15.1063	0.580822	116.1644	1
365	15.3916	0.598222	119.6444	1
366	16.4978	0.641614	128.3228	1
367	18.2129	0.704283	140.8567	1
368	19.9094	0.755035	151.0069	1
369	21.5934	0.797804	159.5608	1
370	21.8903	0.811661	162.3322	0
371	21.3501	0.808068	161.6136	0
372	20.3065	0.777378	155.4757	0
373	18.9899	0.731992	146.3984	0
374	17.7723	0.690171	138.0342	0
375	16.6029	0.650083	130.0165	1
376	15.2994	0.600508	120.1016	1
377	13.9378	0.546826	109.3651	0
378	12.7443	0.498626	99.7252	0
379	11.6153	0.452532	90.5063	1
380	10.6763	0.416077	83.2153	1
381	9.8016	0.382882	76.5764	1
382	8.9046	0.348177	69.6355	1
383	8.0011	0.313027	62.6054	1
384	7.2300	0.282929	56.5858	1
385	6.4927	0.254121	50.8242	1
386	6.0351	0.236446	47.2892	0
387	5.6383	0.221192	44.2383	0
388	5.2328	0.205379	41.0758	0
389	4.8257	0.189465	37.8930	0
390	4.5607	0.179156	35.8313	0
391	4.3169	0.169679	33.9358	0
392	4.1578	0.163902	32.7804	0
393	4.0087	0.158556	31.7112	0
394	3.7828	0.150514	30.1028	0
395	3.5502	0.142238	28.4476	0
396	3.2291	0.129477	25.8955	0
397	2.9027	0.116456	23.2912	0
398	2.6366	0.105862	21.1724	0
399	2.3724	0.095343	19.0687	0
400	2.1592	0.086809	17.3618	0
401	1.9470	0.078311	15.6622	0
402	1.7682	0.071108	14.2215	0
403	1.5895	0.063908	12.7816	0
404	1.4130	0.056789	11.3577	0
405	1.2394	0.049785	9.9570	0
406	1.1048	0.044352	8.8705	0
407	0.9704	0.038943	7.7885	0
408	0.8378	0.033752	6.7504	0
409	0.7076	0.028663	5.7325	0
410	0.5948	0.024327	4.8655	0
411	0.4891	0.020221	4.0443	0
412	0.4254	0.017489	3.4977	0
413	0.3874	0.016115	3.2230	0
414	0.4767	0.021490	4.2981	0
415	0.5956	0.027468	5.4935	0
416	0.8385	0.035972	7.1944	0
417	1.0088	0.041810	8.3621	0
418	0.9170	0.038030	7.6060	0
419	0.8292	0.034421	6.8841	0
420	0.7541	0.031348	6.2696	0
421	0.6823	0.028406	5.6813	0
422	0.6201	0.025824	5.1648	0
423	0.5617	0.023406	4.6813	0
424	0.5128	0.021391	4.2782	0
425	0.4666	0.019491	3.8981	0
426	0.4265	0.017839	3.5677	0
427	0.3880	0.016253	3.2505	0
428	0.3528	0.014794	2.9588	0
429	0.3201	0.013442	2.6883	0
430	0.2919	0.012275	2.4549	0
431	0.2651	0.011172	2.2344	0
432	0.2408	0.010170	2.0340	0
433	0.2182	0.009238	1.8475	0
434	0.1981	0.008403	1.6805	0
435	0.1804	0.007662	1.5324	0
436	0.1657	0.007042	1.4084	0
437	0.1545	0.006638	1.3276	0
438	0.1474	0.006482	1.2965	0
439	0.3463	0.014796	2.9591	0
440	0.7606	0.031959	6.3917	0
441	1.0212	0.041893	8.3787	0
442	1.1364	0.044986	8.9972	0
443	1.7426	0.073634	14.7268	0
444	2.7696	0.124187	24.8373	0
445	3.1728	0.143569	28.7138	0
446	3.0921	0.138776	27.7551	0
447	2.8992	0.129614	25.9229	0
448	2.6275	0.117391	23.4783	0
449	2.3943	0.106986	21.3971	0
450	2.1854	0.097729	19.5458	0
451	2.2919	0.108437	21.6875	0
452	2.5778	0.130505	26.1010	0
453	3.2295	0.170427	34.0853	0
454	4.0679	0.219461	43.8921	0
455	4.2534	0.232398	46.4796	0
456	4.1412	0.228875	45.7751	0
457	3.8538	0.217187	43.4374	0
458	3.4953	0.202189	40.4377	0
459	3.4735	0.204720	40.9439	0
460	3.5723	0.213530	42.7061	0
461	3.6123	0.210376	42.0752	0
462	3.6338	0.203464	40.6928	0
463	4.3483	0.222304	44.4607	0
464	5.2518	0.248166	49.6333	0
465	5.4309	0.247645	49.5291	0
466	5.4406	0.240953	48.1906	0
467	5.5308	0.237964	47.5928	0
468	5.6369	0.235706	47.1411	0
469	8.1664	0.326191	65.2382	0
470	11.0908	0.431788	86.3575	0
471	12.2790	0.465756	93.1511	0
472	13.2408	0.490381	98.0761	0
473	13.0211	0.478372	95.6743	0
474	12.6836	0.462710	92.5421	0
475	11.9933	0.431881	86.3762	0
476	11.2782	0.399981	79.9962	0
477	10.7255	0.375948	75.1896	0
478	10.1798	0.352253	70.4506	1
479	9.5598	0.329155	65.8311	0
480	8.9392	0.306092	61.2183	0
481	8.3935	0.285922	57.1844	0
482	7.8458	0.265699	53.1398	0
483	7.2407	0.243926	48.7852	0
484	6.6393	0.222411	44.4822	0
485	6.0986	0.205116	41.0233	0
486	5.5631	0.187902	37.5804	0
487	5.0845	0.171575	34.3150	0
488	4.6118	0.155475	31.0950	0
489	4.1890	0.141271	28.2542	0
490	3.7762	0.127405	25.4809	0
491	3.4298	0.115764	23.1528	0
492	3.0921	0.104384	20.8768	0
493	2.8017	0.094409	18.8818	0
494	2.5191	0.084677	16.9355	0
495	2.2722	0.076046	15.2092	0
496	2.0370	0.067855	13.5711	0
497	1.8468	0.061363	12.2726	0
498	1.6655	0.055217	11.0434	0
499	1.5138	0.050224	10.0448	0
500	1.3676	0.045366	9.0732	0
501	1.2375	0.040903	8.1806	0
502	1.1143	0.036725	7.3450	0
503	1.0087	0.033281	6.6563	0
504	0.9049	0.029884	5.9768	0
505	0.8052	0.026592	5.3183	0
506	0.7150	0.023634	4.7268	0
507	0.6443	0.021357	4.2713	0
508	0.5776	0.019208	3.8416	0
509	0.5183	0.017295	3.4590	0
510	0.4469	0.014903	2.9806	0
511	0.3557	0.011725	2.3451	0
512	0.2799	0.009155	1.8310	0
513	0.2268	0.007481	1.4962	0
514	0.1850	0.006167	1.2334	0
515	0.1583	0.005333	1.0666	0
516	0.1368	0.004698	0.9396	0
517	0.1216	0.004301	0.8603	0
518	0.1074	0.003922	0.7844	0
519	0.0943	0.003561	0.7122	0
520	0.0838	0.003261	0.6522	0
521	0.0757	0.003021	0.6041	0
522	0.0686	0.002811	0.5623	0
523	0.0625	0.002630	0.5260	0
524	0.0583	0.002511	0.5023	0
525	0.0556	0.002444	0.4888	0
526	0.0536	0.002373	0.4746	0
527	0.0519	0.002299	0.4598	0
528	0.0509	0.002259	0.4518	0
529	0.0502	0.002241	0.4483	0
530	0.0500	0.002235	0.4470	0
531	0.0500	0.002235	0.4470	0
532	0.0500	0.002235	0.4470	0
533	0.0500	0.002235	0.4470	0
534	0.0500	0.002235	0.4470	0
535	0.0500	0.002235	0.4470	0
536	0.0500	0.002235	0.4470	0
537	0.0500	0.002235	0.4470	0
538	0.5762	0.016787	3.3574	0
539	1.3018	0.036851	7.3703	0
540	2.7182	0.073978	14.7956	0
541	4.3649	0.116791	23.3583	0
542	5.3171	0.147088	29.4175	0
543	6.0673	0.173744	34.7488	0
544	5.7652	0.166115	33.2230	0
545	5.1992	0.149885	29.9770	0
546	4.7178	0.136080	27.2160	0
547	4.2544	0.122792	24.5584	0
548	3.8623	0.111549	22.3098	0
549	3.4829	0.100670	20.1339	0
550	3.1636	0.091513	18.3027	0
551	2.8529	0.082606	16.5212	0
552	2.5929	0.075150	15.0299	0
553	2.3385	0.067857	13.5714	0
554	2.1380	0.062816	12.5633	0
555	1.9418	0.057963	11.5927	0
556	1.7982	0.054612	10.9223	0
557	1.6573	0.051343	10.2685	0
558	2.5516	0.087621	17.5241	0
559	3.4751	0.125016	25.0031	0
560	5.0879	0.182593	36.5186	0
561	6.6920	0.240117	48.0235	0
562	7.8192	0.292820	58.5640	0
563	8.9512	0.345223	69.0447	0
564	10.1810	0.391529	78.3058	0
565	11.2656	0.432127	86.4254	1
566	10.4624	0.398526	79.7051	1
567	9.6720	0.365416	73.0832	1
568	9.0022	0.336933	67.3866	1
569	8.3451	0.309132	61.8265	1
570	7.7800	0.286296	57.2591	1
571	7.2030	0.263308	52.6617	0
572	6.5562	0.239439	47.8877	0
573	5.9263	0.216236	43.2473	0
574	5.3785	0.196286	39.2571	0
575	4.8500	0.177041	35.4081	0
576	4.4015	0.160706	32.1413	0
