# river=mccloud model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USC00045449 station_name=MCCLOUD,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00200319 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
103	0.0500	0.002003	0.4006	0
104	0.0500	0.002003	0.4006	0
105	0.0500	0.002003	0.4006	0
106	0.0500	0.002003	0.4006	0
107	0.0500	0.002003	0.4006	0
108	0.0500	0.002003	0.4006	0
109	0.0500	0.002003	0.4006	0
110	0.0500	0.002003	0.4006	0
111	0.0500	0.002003	0.4006	0
112	0.0500	0.002003	0.4006	0
113	0.0500	0.002003	0.4006	0
114	0.0500	0.002003	0.4006	0
115	0.0500	0.002003	0.4006	0
116	0.0500	0.002003	0.4006	0
117	0.0500	0.002003	0.4006	0
118	0.0500	0.002003	0.4006	0
119	0.0500	0.002003	0.4006	0
120	0.0500	0.002003	0.4006	0
121	0.0500	0.002003	0.4006	0
122	0.0500	0.002003	0.4006	0
123	0.1741	0.006977	1.3953	0
124	0.4071	0.016308	3.2616	0
125	0.4865	0.019492	3.8984	0
126	0.4443	0.017801	3.5601	0
127	0.4065	0.016288	3.2575	0
128	0.3720	0.014903	2.9806	0
129	0.3412	0.013670	2.7341	0
130	0.3129	0.012536	2.5073	0
131	0.2879	0.011532	2.3065	0
132	0.2647	0.010604	2.1208	0
133	0.2443	0.009786	1.9573	0
134	0.2253	0.009026	1.8053	0
135	1.1291	0.045235	9.0470	0
136	2.4644	0.098735	19.7471	0
137	3.0961	0.124042	24.8084	0
138	3.4348	0.137610	27.5221	0
139	3.2928	0.131924	26.3849	0
140	2.9739	0.119145	23.8289	0
141	2.6986	0.108115	21.6230	0
142	2.4374	0.097652	19.5303	0
143	2.2132	0.088668	17.7337	0
144	1.9994	0.080102	16.0203	0
145	1.8167	0.072785	14.5570	0
146	1.6417	0.065771	13.1543	0
147	1.4929	0.059813	11.9625	0
148	1.3496	0.054070	10.8141	0
149	1.2285	0.049217	9.8435	0
150	1.1111	0.044516	8.9032	0
151	1.0125	0.040564	8.1127	0
152	0.9164	0.036714	7.3429	0
153	0.8361	0.033496	6.6992	0
154	0.7574	0.030344	6.0689	0
155	0.6920	0.027723	5.5447	0
156	0.6276	0.025143	5.0286	0
