# river=shasta model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USC00045983 station_name=MOUNT_SHASTA,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00234763 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
224	0.6294	0.029551	5.9102	0
225	0.5697	0.026749	5.3498	0
226	0.5197	0.024402	4.8805	0
227	0.4719	0.022157	4.4313	0
228	1.8074	0.084863	16.9727	0
229	3.3998	0.159630	31.9259	0
230	3.7791	0.177440	35.4879	0
231	3.9742	0.186598	37.3195	0
232	4.1792	0.196227	39.2453	0
233	4.3855	0.205912	41.1824	0
234	4.0360	0.189502	37.9003	0
235	3.6366	0.170747	34.1495	0
236	3.3054	0.155197	31.0393	0
237	2.9784	0.139842	27.9684	0
238	2.7056	0.127033	25.4066	0
239	2.4346	0.114311	22.8622	0
240	2.2091	0.103722	20.7444	0
241	1.9845	0.093177	18.6354	0
242	1.7924	0.084159	16.8317	0
243	1.6024	0.075236	15.0471	0
244	1.4594	0.068521	13.7043	0
245	1.3181	0.061887	12.3775	0
246	1.2010	0.056390	11.2780	0
247	1.1237	0.052759	10.5519	0
248	1.4451	0.067850	13.5699	0
249	2.0560	0.096534	19.3069	0
250	4.8867	0.229445	45.8891	0
251	7.2972	0.342621	68.5242	0
252	7.1280	0.334679	66.9359	0
253	6.9528	0.326452	65.2903	0
254	6.7467	0.316774	63.3549	0
255	6.4661	0.303598	60.7196	0
256	5.8668	0.275463	55.0927	0
257	5.2909	0.248421	49.6842	0
258	4.8003	0.225386	45.0773	0
259	4.3310	0.203349	40.6699	0
260	3.9293	0.184490	36.8980	0
261	3.5468	0.166532	33.3064	0
262	3.2180	0.151091	30.2183	0
263	2.9063	0.136458	27.2916	0
264	2.6370	0.123816	24.7632	0
265	3.1397	0.147418	29.4835	0
266	5.3352	0.250500	50.0999	0
267	7.6511	0.359239	71.8478	0
268	10.2031	0.479063	95.8127	0
269	11.4288	0.536612	107.3225	1
270	10.3234	0.484708	96.9416	1
271	9.3128	0.437259	87.4518	1
272	8.4523	0.396856	79.3713	1
273	7.6447	0.358936	71.7873	1
274	6.9125	0.324558	64.9117	1
275	7.5845	0.356113	71.2227	1
276	10.0671	0.472676	94.5352	1
277	10.9245	0.512933	102.5867	1
278	9.8859	0.464168	92.8336	1
279	9.0204	0.423529	84.7059	1
280	8.3377	0.391478	78.2955	0
281	7.6309	0.358291	71.6583	0
282	6.9010	0.324020	64.8039	0
283	6.2420	0.293076	58.6152	0
284	5.6443	0.265017	53.0033	0
285	5.1074	0.239808	47.9615	0
286	4.6182	0.216835	43.3669	0
287	4.1808	0.196298	39.2597	0
288	3.7802	0.177490	35.4979	0
289	3.4200	0.160576	32.1153	0
290	3.0856	0.144875	28.9751	0
291	2.7653	0.129838	25.9677	0
292	2.4532	0.115184	23.0367	0
293	2.2030	0.103435	20.6869	0
294	1.9847	0.093187	18.6375	0
295	1.7942	0.084243	16.8486	0
296	1.6165	0.075901	15.1802	0
297	1.4663	0.068845	13.7691	0
298	1.3273	0.062318	12.4637	0
299	1.2067	0.056659	11.3318	0
300	1.0929	0.051315	10.2631	0
301	0.9947	0.046706	9.3412	0
302	0.9016	0.042331	8.4662	0
303	0.8216	0.038577	7.7153	0
304	0.7453	0.034995	6.9989	0
305	0.6802	0.031937	6.3874	0
306	0.6177	0.029004	5.8008	0
307	0.5345	0.025098	5.0196	0
308	0.4472	0.020996	4.1992	0
309	0.3637	0.017076	3.4151	0
310	0.2808	0.013186	2.6372	0
311	0.2532	0.011886	2.3773	0
312	0.2329	0.010934	2.1868	0
313	0.2155	0.010120	2.0241	0
314	0.1985	0.009321	1.8642	0
315	0.1847	0.008674	1.7348	0
316	0.1712	0.008038	1.6077	0
317	0.1159	0.005444	1.0888	0
318	0.0588	0.002760	0.5519	0
319	0.0569	0.002673	0.5347	0
320	0.0562	0.002637	0.5275	0
321	0.0530	0.002490	0.4981	0
322	0.0500	0.002348	0.4695	0
323	0.0500	0.002348	0.4695	0
324	0.0500	0.002348	0.4695	0
325	0.0500	0.002348	0.4695	0
326	0.0500	0.002348	0.4695	0
327	0.0500	0.002348	0.4695	0
328	0.0500	0.002348	0.4695	0
329	0.0500	0.002348	0.4695	0
330	0.0500	0.002348	0.4695	0
331	0.0500	0.002348	0.4695	0
332	0.3625	0.017022	3.4043	0
333	2.3939	0.112402	22.4803	0
334	4.0056	0.188075	37.6150	0
335	3.6866	0.173097	34.6194	0
336	3.7265	0.174968	34.9935	0
337	5.1726	0.242867	48.5735	0
338	6.2668	0.294241	58.8483	0
339	6.1694	0.289668	57.9337	0
340	6.5733	0.308633	61.7266	0
341	8.4594	0.397189	79.4377	0
342	9.8508	0.462522	92.5043	1
343	9.9544	0.467383	93.4767	0
344	10.2004	0.478936	95.7872	0
345	10.7755	0.505939	101.1879	0
346	13.0043	0.602877	120.5754	0
347	18.6375	0.843798	168.7597	1
348	22.9383	1.000000	200.0000	1
349	24.7824	1.000000	200.0000	1
350	25.0403	0.999572	199.9145	1
351	22.6699	0.998436	199.6872	1
352	20.4719	0.961207	192.2413	1
353	18.5311	0.870085	174.0169	1
354	16.9861	0.797542	159.5084	1
355	15.9747	0.750052	150.0104	1
356	14.7835	0.694122	138.8245	1
357	13.3731	0.627901	125.5801	1
358	12.0842	0.567384	113.4769	0
359	10.9295	0.513167	102.6333	1
360	10.0832	0.473432	94.6864	1
361	9.5454	0.448180	89.6361	1
362	10.6207	0.498667	99.7334	1
363	13.1570	0.617755	123.5509	1
364	14.5076	0.681168	136.2336	1
365	14.8858	0.698929	139.7858	1
366	16.8887	0.791809	158.3618	1
367	20.0965	0.940400	188.0801	1
368	22.1609	1.000000	200.0000	1
369	23.4596	1.000000	200.0000	1
370	22.6757	0.979530	195.9060	1
371	20.6349	0.946706	189.3413	1
372	18.7394	0.879861	175.9723	1
373	16.9227	0.794564	158.9128	1
374	16.1530	0.758426	151.6851	1
375	15.8919	0.746164	149.2329	1
376	14.9574	0.702290	140.4580	1
377	13.7314	0.644725	128.9450	0
378	12.4876	0.586325	117.2649	0
379	11.2369	0.527603	105.5207	1
380	10.6226	0.498757	99.7514	1
381	10.2234	0.480016	96.0032	0
382	9.3899	0.440879	88.1757	0
383	8.4280	0.395717	79.1434	0
384	7.6223	0.357886	71.5771	0
385	6.8564	0.321925	64.3849	0
386	6.6768	0.313493	62.6985	0
387	6.6247	0.311045	62.2090	0
388	6.3771	0.299420	59.8840	0
389	6.0939	0.286126	57.2252	0
390	6.0539	0.284247	56.8494	0
391	6.0500	0.284061	56.8121	0
392	6.2239	0.292228	58.4456	0
393	6.4186	0.301369	60.2738	0
394	6.3986	0.300430	60.0860	0
395	6.3600	0.298618	59.7237	0
396	5.8180	0.273169	54.6338	0
397	5.2467	0.246345	49.2690	0
398	4.7685	0.223892	44.7784	0
399	4.2932	0.201575	40.3149	0
400	3.9035	0.183281	36.6562	0
401	3.5156	0.165067	33.0135	0
402	3.1909	0.149821	29.9642	0
403	2.8668	0.134604	26.9207	0
404	2.5563	0.120025	24.0050	0
405	2.2514	0.105710	21.1420	0
406	2.0227	0.094970	18.9940	0
407	1.7937	0.084221	16.8442	0
408	1.5630	0.073387	14.6774	0
409	1.3396	0.062896	12.5791	0
410	1.1706	0.054960	10.9921	0
411	1.0126	0.047543	9.5086	0
412	0.9207	0.043232	8.6463	0
413	0.8321	0.039068	7.8137	0
414	0.7591	0.035641	7.1283	0
415	0.7621	0.035781	7.1562	0
416	1.0841	0.050900	10.1800	0
417	1.3099	0.061501	12.3002	0
418	1.1885	0.055803	11.1607	0
419	1.0733	0.050393	10.0786	0
420	0.9772	0.045884	9.1768	0
421	0.8834	0.041479	8.2958	0
422	0.7957	0.037361	7.4722	0
423	0.7153	0.033584	6.7169	0
424	0.6526	0.030639	6.1278	0
425	0.5934	0.027862	5.5725	0
426	0.5421	0.025451	5.0902	0
427	0.4909	0.023049	4.6098	0
428	0.4401	0.020665	4.1329	0
429	0.3936	0.018480	3.6960	0
430	0.3545	0.016643	3.3286	0
431	0.3170	0.014884	2.9769	0
432	0.2822	0.013249	2.6498	0
433	0.2491	0.011696	2.3392	0
434	0.2185	0.010258	2.0517	0
435	0.1916	0.008997	1.7994	0
436	0.1695	0.007959	1.5919	0
437	0.1530	0.007183	1.4366	0
438	0.1429	0.006707	1.3415	0
439	0.5028	0.023607	4.7213	0
440	1.2494	0.058661	11.7323	0
441	1.5388	0.072249	14.4498	0
442	1.3954	0.065517	13.1033	0
443	1.6372	0.076872	15.3744	0
444	2.2093	0.103731	20.7461	0
445	2.5498	0.119717	23.9435	0
446	2.7106	0.127272	25.4544	0
447	2.6298	0.123477	24.6954	0
448	2.3796	0.111727	22.3455	0
449	2.1857	0.102622	20.5244	0
450	2.0274	0.095189	19.0379	0
451	2.2214	0.104303	20.8605	0
452	2.6160	0.122830	24.5660	0
453	3.7450	0.175839	35.1678	0
454	5.2488	0.246447	49.2893	0
455	5.3625	0.251781	50.3562	0
456	4.8421	0.227351	45.4702	0
457	4.3847	0.205871	41.1742	0
458	3.9527	0.185587	37.1175	0
459	3.5827	0.168219	33.6437	0
460	3.2350	0.151894	30.3787	0
461	2.9353	0.137821	27.5642	0
462	2.6507	0.124455	24.8910	0
463	3.2850	0.154237	30.8475	0
464	4.1699	0.195787	39.1574	0
465	4.0604	0.190647	38.1294	0
466	3.7183	0.174586	34.9172	0
467	3.7989	0.178370	35.6740	0
468	3.9630	0.186071	37.2142	0
469	5.0656	0.237842	47.5685	0
470	6.3212	0.296795	59.3589	0
471	7.2443	0.340141	68.0281	0
472	8.1242	0.381451	76.2901	0
473	7.5235	0.353247	70.6495	0
474	6.7752	0.318114	63.6228	0
475	6.1536	0.288929	57.7858	0
476	5.5410	0.260164	52.0328	0
477	5.0348	0.236398	47.2796	0
478	4.5332	0.212847	42.5695	0
479	4.3960	0.206402	41.2804	0
480	4.2626	0.200140	40.0280	0
481	3.8644	0.181444	36.2887	0
482	3.4689	0.162876	32.5752	0
483	3.1542	0.148100	29.6200	0
484	2.8584	0.134207	26.8414	0
485	2.8699	0.134747	26.9494	0
486	2.8585	0.134215	26.8431	0
487	2.5931	0.121751	24.3501	0
488	2.3334	0.109557	21.9114	0
489	2.1217	0.099621	19.9242	0
490	1.9151	0.089918	17.9836	0
491	1.7411	0.081750	16.3500	0
492	1.5709	0.073756	14.7512	0
493	1.4206	0.066700	13.3399	0
494	1.2720	0.059725	11.9449	0
495	1.1313	0.053116	10.6232	0
496	1.0012	0.047008	9.4016	0
497	0.9122	0.042831	8.5662	0
498	0.8270	0.038828	7.7656	0
499	0.7541	0.035408	7.0816	0
500	0.6846	0.032146	6.4292	0
501	0.6250	0.029346	5.8692	0
502	0.5684	0.026688	5.3376	0
503	0.5196	0.024395	4.8790	0
504	0.4683	0.021989	4.3978	0
505	0.4116	0.019325	3.8650	0
506	0.3635	0.017068	3.4135	0
507	0.3330	0.015637	3.1275	0
508	0.3022	0.014188	2.8376	0
509	0.2706	0.012704	2.5409	0
510	0.2348	0.011023	2.2047	0
511	0.1921	0.009019	1.8038	0
512	0.1534	0.007204	1.4407	0
513	0.1207	0.005667	1.1334	0
514	0.1000	0.004693	0.9386	0
515	0.0952	0.004469	0.8938	0
516	0.0908	0.004263	0.8527	0
517	0.0869	0.004080	0.8160	0
518	0.0833	0.003912	0.7825	0
519	0.0801	0.003762	0.7524	0
520	0.0751	0.003527	0.7053	0
521	0.0683	0.003207	0.6414	0
522	0.0644	0.003022	0.6043	0
523	0.0630	0.002957	0.5913	0
524	0.0617	0.002898	0.5796	0
525	0.0606	0.002845	0.5690	0
526	0.0572	0.002684	0.5367	0
527	0.0520	0.002443	0.4887	0
528	0.0500	0.002348	0.4695	0
529	0.0500	0.002348	0.4695	0
530	0.0500	0.002348	0.4695	0
531	0.0500	0.002348	0.4695	0
532	0.0500	0.002348	0.4695	0
533	0.0500	0.002348	0.4695	0
534	0.0500	0.002348	0.4695	0
535	0.0500	0.002348	0.4695	0
536	0.0500	0.002348	0.4695	0
537	0.0500	0.002348	0.4695	0
538	0.0500	0.002348	0.4695	0
539	0.0500	0.002348	0.4695	0
540	0.1563	0.007337	1.4674	0
541	0.2980	0.013990	2.7980	0
542	0.4543	0.021332	4.2665	0
543	0.6150	0.028875	5.7750	0
544	0.6034	0.028331	5.6662	0
545	0.5486	0.025758	5.1515	0
546	0.5020	0.023569	4.7137	0
547	0.4571	0.021462	4.2924	0
548	0.4191	0.019679	3.9359	0
549	0.3824	0.017954	3.5909	0
550	0.3515	0.016503	3.3005	0
551	0.3214	0.015090	3.0181	0
552	0.2962	0.013908	2.7816	0
553	0.2716	0.012752	2.5504	0
554	0.2511	0.011789	2.3579	0
555	0.2309	0.010843	2.1685	0
556	0.2849	0.013375	2.6751	0
557	0.3429	0.016100	3.2200	0
558	0.9162	0.043019	8.6037	0
559	1.5041	0.070621	14.1241	0
560	2.4317	0.114172	22.8345	0
561	3.3913	0.159229	31.8458	0
562	5.7353	0.269287	53.8574	0
563	7.9590	0.373695	74.7391	0
564	7.7268	0.362793	72.5585	0
565	7.4656	0.350528	70.1057	0
566	6.8275	0.320567	64.1134	0
567	6.1960	0.290917	58.1835	0
568	5.6270	0.264200	52.8400	0
569	5.0907	0.239020	47.8039	0
570	4.7925	0.225019	45.0038	0
571	4.4777	0.210241	42.0483	0
572	4.0659	0.190905	38.1810	0
573	3.6668	0.172165	34.4331	0
574	3.3296	0.156334	31.2668	0
575	3.0044	0.141062	28.2124	0
576	2.7283	0.128100	25.6201	0
577	2.4632	0.115655	23.1310	0
578	2.2372	0.105043	21.0086	0
579	2.5246	0.118538	23.7077	0
