# dataset=Water Council measured river temperatures consolidated and resampled to 720 values
# period=2025-07-01 through 2026-06-30T11:50:00; half-open 365-day installation loop
# timestamps=720 evenly spaced half-open bins at 730 model minutes per row; Pacific local calendar time
# output_units=degrees Celsius (deg C) for every temperature column
# cottonwood=excluded at user request because no continuous 2025-2026 measured temperature record was found
# method=calendar-day means from measured observations; missing daily means linearly interpolated; completed inclusive source series linearly reinterpolated onto 720 half-open installation frames
# quality_control=CDEC rows flagged N or outside -2 to 40 deg C were excluded; sub-daily dates required at least half of expected observations before daily averaging
# feather_headwater_mean=arithmetic mean of CDEC TM1 and TM2 after daily averaging and interpolation
# shasta_keswick_source=CDEC station KWK; Sacramento River at Keswick, 0.8 miles below Keswick Dam; water temperature
# shasta_keswick_native_units=DEG F; converted to deg C before output
# shasta_keswick_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=KWK
# shasta_keswick_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=KWK&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# shasta_keswick_source_observations=8757
# shasta_keswick_observed_days=366
# shasta_keswick_missing_source_days=0
# shasta_keswick_source_flags={'N': 1}
# mccloud_source=CDEC station MSS; McCloud River above Shasta Lake; water temperature
# mccloud_native_units=DEG F; converted to deg C before output
# mccloud_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=MSS
# mccloud_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=MSS&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# mccloud_source_observations=8754
# mccloud_observed_days=366
# mccloud_missing_source_days=0
# mccloud_source_flags={}
# pit_source=CDEC station PMN; Pit River near Montgomery Creek; water temperature
# pit_native_units=DEG F; converted to deg C before output
# pit_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=PMN
# pit_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=PMN&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# pit_source_observations=8676
# pit_observed_days=363
# pit_missing_source_days=3
# pit_source_flags={'N': 78}
# mill_source=USGS station 11381500; Mill Creek near Los Molinos; water temperature
# mill_native_units=deg C; no unit conversion
# mill_station_url=https://waterdata.usgs.gov/monitoring-location/USGS-11381500/
# mill_data_url=https://waterservices.usgs.gov/nwis/dv/?format=json&sites=11381500&parameterCd=00010&startDT=2025-07-01&endDT=2026-07-01&siteStatus=all
# mill_source_observations=366
# mill_observed_days=366
# mill_missing_source_days=0
# mill_source_flags={'A': 155, 'P': 211}
# feather_tm1_source=CDEC station TM1; Thompson Meadow Site 1, East Branch North Fork Feather headwaters; water temperature
# feather_tm1_native_units=DEG F; converted to deg C before output
# feather_tm1_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TM1
# feather_tm1_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=TM1&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# feather_tm1_source_observations=8034
# feather_tm1_observed_days=349
# feather_tm1_missing_source_days=17
# feather_tm1_source_flags={}
# feather_tm2_source=CDEC station TM2; Thompson Meadow Site 2, East Branch North Fork Feather headwaters; water temperature
# feather_tm2_native_units=DEG F; converted to deg C before output
# feather_tm2_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TM2
# feather_tm2_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=TM2&SensorNums=25&dur_code=H&Start=2025-07-01&End=2026-07-02
# feather_tm2_source_observations=8696
# feather_tm2_observed_days=364
# feather_tm2_missing_source_days=2
# feather_tm2_source_flags={}
# feather_release_source=CDEC station FTA; Feather River below Thermalito Afterbay; water temperature
# feather_release_native_units=DEG F; converted to deg C before output
# feather_release_station_url=https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=FTA
# feather_release_data_url=https://cdec.water.ca.gov/dynamicapp/req/CSVDataServlet?Stations=FTA&SensorNums=25&dur_code=E&Start=2025-07-01&End=2026-07-02
# feather_release_source_observations=34885
# feather_release_observed_days=366
# feather_release_missing_source_days=0
# feather_release_source_flags={}
# american_source=USGS station 11446500; American River at Fair Oaks; water temperature
# american_native_units=deg C; no unit conversion
# american_station_url=https://waterdata.usgs.gov/monitoring-location/USGS-11446500/
# american_data_url=https://waterservices.usgs.gov/nwis/iv/?format=json&sites=11446500&parameterCd=00010&startDT=2025-07-01&endDT=2026-07-01&siteStatus=all
# american_source_observations=35074
# american_observed_days=366
# american_missing_source_days=0
# american_source_flags={'A': 14828, 'P': 20246}
# delta_freeport_source=USGS station 11447650; Sacramento River at Freeport, Right Bank Pump Stand; water temperature
# delta_freeport_native_units=deg C; no unit conversion
# delta_freeport_station_url=https://waterdata.usgs.gov/monitoring-location/USGS-11447650/
# delta_freeport_data_url=https://waterservices.usgs.gov/nwis/iv/?format=json&sites=11447650&parameterCd=00010&startDT=2025-07-01&endDT=2026-07-01&siteStatus=all
# delta_freeport_source_observations=35136
# delta_freeport_observed_days=366
# delta_freeport_missing_source_days=0
# delta_freeport_source_flags={'A': 15804, 'P': 19332}
# note=USGS values carrying qualifier P are provisional and subject to revision
frame,timestamp_pacific,shasta_keswick_release_temp_c,mccloud_above_shasta_lake_temp_c,pit_near_montgomery_creek_temp_c,mill_creek_temp_c,feather_headwater_tm1_temp_c,feather_headwater_tm2_temp_c,feather_headwater_mean_temp_c,feather_below_thermalito_temp_c,american_fair_oaks_temp_c,delta_freeport_temp_c
59,2025-07-30T21:50:00,11.230,16.806,19.718,22.018,15.633,12.984,14.309,18.313,16.572,20.891
60,2025-07-31T10:00:00,11.266,16.905,19.749,22.211,15.574,12.573,14.074,18.390,16.558,20.952
61,2025-07-31T22:10:00,11.298,17.053,19.790,22.461,15.492,12.159,13.826,18.435,16.616,21.000
62,2025-08-01T10:20:00,11.165,17.020,19.811,22.499,15.147,11.859,13.502,18.388,16.718,21.053
63,2025-08-01T22:30:00,11.004,16.957,19.829,22.500,14.759,11.577,13.167,18.325,16.826,21.108
64,2025-08-02T10:40:00,10.961,16.952,19.733,22.411,14.488,11.496,12.992,18.199,16.948,21.150
65,2025-08-02T22:50:00,10.933,16.956,19.622,22.310,14.233,11.443,12.838,18.064,17.072,21.192
66,2025-08-03T11:00:00,10.958,16.932,19.608,22.071,14.020,11.239,12.630,17.898,17.166,21.168
67,2025-08-03T23:10:00,10.988,16.902,19.605,21.819,13.812,11.019,12.416,17.732,17.258,21.136
68,2025-08-04T11:20:00,11.005,16.679,19.619,21.611,13.644,10.778,12.211,17.722,17.378,21.093
69,2025-08-04T23:30:00,11.020,16.445,19.641,21.413,13.485,10.557,12.021,17.736,17.503,21.050
70,2025-08-05T11:40:00,11.049,16.382,19.741,21.303,13.428,10.709,12.068,17.906,17.654,21.036
71,2025-08-05T23:50:00,11.079,16.340,19.843,21.201,13.396,10.915,12.155,18.081,17.806,21.030
72,2025-08-06T12:00:00,11.113,16.337,19.866,21.100,13.528,11.278,12.403,18.134,17.929,21.084
73,2025-08-07T00:10:00,11.130,16.340,19.874,21.046,13.707,11.659,12.682,18.185,18.053,21.147
74,2025-08-07T12:20:00,11.025,16.360,19.843,21.360,14.118,12.048,13.083,18.324,18.214,21.229
75,2025-08-08T00:30:00,10.913,16.369,19.799,21.708,14.505,12.424,13.465,18.433,18.328,21.321
76,2025-08-08T12:40:00,10.837,16.313,19.706,22.017,14.588,12.717,13.652,18.304,18.135,21.465
77,2025-08-09T00:50:00,10.779,16.274,19.613,22.297,14.633,12.975,13.804,18.162,17.889,21.602
78,2025-08-09T13:00:00,10.797,16.360,19.537,22.463,14.667,13.108,13.888,18.085,17.545,21.679
79,2025-08-10T01:10:00,10.816,16.484,19.472,22.633,14.768,13.225,13.997,17.992,17.257,21.724
80,2025-08-10T13:20:00,10.801,16.697,19.442,22.878,15.139,13.335,14.237,17.793,17.231,21.677
81,2025-08-11T01:30:00,10.804,16.908,19.413,23.121,15.550,13.489,14.519,17.587,17.260,21.611
82,2025-08-11T13:40:00,10.879,17.076,19.375,23.328,15.985,13.793,14.889,17.401,17.367,21.523
83,2025-08-12T01:50:00,10.950,17.208,19.366,23.471,16.325,13.987,15.157,17.247,17.476,21.435
84,2025-08-12T14:00:00,10.980,17.255,19.447,23.442,16.382,13.813,15.098,17.181,17.568,21.351
85,2025-08-13T02:10:00,11.002,17.249,19.517,23.378,16.242,13.404,14.823,17.265,17.624,21.267
86,2025-08-13T14:20:00,11.021,17.137,19.531,23.280,15.701,12.523,14.112,17.700,17.599,21.180
87,2025-08-14T02:30:00,11.050,16.962,19.543,23.135,15.203,11.926,13.564,18.026,17.677,21.141
88,2025-08-14T14:40:00,11.106,16.680,19.567,22.894,14.912,12.083,13.497,18.016,18.002,21.207
89,2025-08-15T02:50:00,11.093,16.447,19.588,22.657,14.748,12.324,13.536,17.977,18.251,21.319
90,2025-08-15T15:00:00,10.942,16.332,19.601,22.450,14.775,12.542,13.659,17.961,18.287,21.492
91,2025-08-16T03:10:00,10.790,16.278,19.590,22.350,14.842,12.766,13.804,17.966,18.335,21.684
92,2025-08-16T15:20:00,10.666,16.303,19.536,22.428,14.933,13.004,13.969,17.999,18.452,21.889
93,2025-08-17T03:30:00,10.614,16.267,19.488,22.289,14.977,13.114,14.046,18.037,18.514,22.002
94,2025-08-17T15:40:00,10.669,16.125,19.459,21.782,14.945,13.020,13.983,18.075,18.478,21.970
95,2025-08-18T03:50:00,10.683,15.827,19.463,21.244,14.830,12.739,13.784,18.183,18.286,21.870
96,2025-08-18T16:00:00,10.624,15.332,19.513,20.734,14.615,12.235,13.425,18.388,17.900,21.707
97,2025-08-19T04:10:00,10.586,15.017,19.541,20.477,14.166,11.525,12.845,18.514,17.643,21.610
98,2025-08-19T16:20:00,10.586,14.963,19.534,20.536,13.443,10.594,12.018,18.526,17.577,21.608
99,2025-08-20T04:30:00,10.600,15.110,19.502,20.704,13.311,10.181,11.746,18.507,17.566,21.681
100,2025-08-20T16:40:00,10.623,15.445,19.445,20.947,13.890,10.386,12.138,18.470,17.586,21.828
101,2025-08-21T04:50:00,10.639,15.671,19.379,21.224,14.395,10.760,12.578,18.427,17.555,21.982
102,2025-08-21T17:00:00,10.648,15.760,19.306,21.525,14.726,11.223,12.974,18.380,17.467,22.133
103,2025-08-22T05:10:00,10.631,15.734,19.257,21.805,15.087,11.844,13.465,18.277,17.444,22.242
104,2025-08-22T17:20:00,10.591,15.618,19.229,22.061,15.498,12.601,14.050,18.123,17.490,22.314
105,2025-08-23T05:30:00,10.577,15.646,19.213,22.288,15.826,13.306,14.566,17.974,17.622,22.316
106,2025-08-23T17:40:00,10.588,15.804,19.205,22.494,16.077,13.951,15.013,17.833,17.817,22.263
107,2025-08-24T05:50:00,10.704,16.082,19.195,22.724,15.855,14.092,14.973,17.896,17.933,22.217
108,2025-08-24T18:00:00,10.899,16.437,19.180,22.975,15.279,13.852,14.566,18.116,17.983,22.182
109,2025-08-25T06:10:00,10.925,16.555,19.181,23.059,14.994,13.591,14.292,18.082,17.992,22.147
110,2025-08-25T18:20:00,10.827,16.500,19.193,23.024,14.945,13.351,14.148,17.859,17.981,22.111
111,2025-08-26T06:30:00,10.795,16.489,19.190,22.914,14.931,13.278,14.104,17.648,17.928,22.027
112,2025-08-26T18:40:00,10.817,16.520,19.175,22.767,14.920,13.309,14.114,17.462,17.851,21.913
113,2025-08-27T06:50:00,10.888,16.394,19.167,22.553,14.867,12.824,13.846,17.545,17.784,21.829
114,2025-08-27T19:00:00,10.986,16.172,19.163,22.304,14.792,12.033,13.412,17.781,17.724,21.765
115,2025-08-28T07:10:00,10.981,15.829,19.150,21.923,14.736,11.728,13.232,17.607,17.683,21.647
116,2025-08-28T19:20:00,10.920,15.428,19.130,21.475,14.693,11.698,13.195,17.205,17.650,21.498
117,2025-08-29T07:30:00,10.933,15.226,19.113,21.218,14.555,11.500,13.028,16.913,17.493,21.497
118,2025-08-29T19:40:00,10.986,15.123,19.096,21.054,14.373,11.206,12.789,16.686,17.276,21.567
119,2025-08-30T07:50:00,11.009,15.029,19.091,20.971,14.405,11.264,12.834,16.191,17.063,21.699
120,2025-08-30T20:00:00,11.017,14.934,19.092,20.916,14.531,11.479,13.005,15.575,16.855,21.853
121,2025-08-31T08:10:00,11.025,14.862,19.065,20.866,14.552,11.505,13.029,15.166,16.819,21.846
122,2025-08-31T20:20:00,11.036,14.799,19.028,20.815,14.525,11.450,12.988,14.844,16.849,21.773
123,2025-09-01T08:30:00,11.066,14.727,18.951,20.765,14.448,11.469,12.958,14.772,16.838,21.659
124,2025-09-01T20:40:00,11.103,14.650,18.859,20.714,14.353,11.518,12.936,14.785,16.810,21.531
125,2025-09-02T08:50:00,11.107,14.814,18.838,20.776,14.619,12.135,13.377,14.853,16.376,21.291
126,2025-09-02T21:00:00,11.099,15.055,18.839,20.875,15.003,12.934,13.968,14.935,15.813,21.016
127,2025-09-03T09:10:00,11.118,15.236,18.824,21.132,15.116,12.784,13.950,15.098,15.996,20.847
128,2025-09-03T21:20:00,11.144,15.397,18.803,21.433,15.149,12.357,13.753,15.283,16.398,20.710
129,2025-09-04T09:30:00,11.151,15.342,18.742,21.298,15.007,11.994,13.501,15.289,16.727,20.574
130,2025-09-04T21:40:00,11.153,15.231,18.669,21.049,14.821,11.653,13.237,15.247,17.034,20.438
131,2025-09-05T09:50:00,10.996,15.080,18.643,20.877,14.586,11.370,12.978,15.245,17.224,20.410
132,2025-09-05T22:00:00,10.805,14.920,18.628,20.718,14.335,11.096,12.715,15.253,17.390,20.407
133,2025-09-06T10:10:00,10.719,14.680,18.624,20.234,13.890,10.627,12.259,15.323,17.710,20.383
134,2025-09-06T22:20:00,10.657,14.420,18.622,19.684,13.406,10.123,11.764,15.409,18.049,20.357
135,2025-09-07T10:30:00,10.603,14.138,18.614,19.294,13.033,9.778,11.405,15.504,18.079,20.349
136,2025-09-07T22:40:00,10.538,13.884,18.605,18.971,12.720,9.557,11.139,15.600,18.035,20.345
137,2025-09-08T10:50:00,10.330,14.016,18.615,19.035,12.799,10.379,11.589,15.680,17.960,20.349
138,2025-09-08T23:00:00,10.124,14.202,18.622,19.169,12.921,11.279,12.100,15.764,17.879,20.347
139,2025-09-09T11:10:00,10.210,14.097,18.554,19.154,12.650,10.843,11.746,15.912,17.820,20.281
140,2025-09-09T23:20:00,10.353,13.917,18.468,19.011,12.267,10.138,11.202,16.099,17.781,20.203
141,2025-09-10T11:30:00,10.423,13.683,18.380,18.285,11.750,9.685,10.717,16.446,17.837,20.147
142,2025-09-10T23:40:00,10.497,13.503,18.299,17.604,11.290,9.411,10.350,16.806,17.893,20.115
143,2025-09-11T11:50:00,10.673,13.660,18.254,17.843,11.287,9.766,10.526,17.043,17.844,20.179
144,2025-09-12T00:00:00,10.840,13.884,18.210,18.292,11.385,10.076,10.730,17.170,17.790,20.267
145,2025-09-12T12:10:00,10.868,14.056,18.136,18.705,11.465,9.567,10.515,16.948,17.813,20.363
146,2025-09-13T00:20:00,10.880,14.206,18.056,19.074,11.524,9.023,10.273,16.685,17.859,20.456
147,2025-09-13T12:30:00,10.952,14.324,17.988,19.309,11.525,9.049,10.288,16.571,17.924,20.532
148,2025-09-14T00:40:00,11.035,14.370,17.934,19.449,11.526,9.119,10.323,16.533,18.001,20.598
149,2025-09-14T12:50:00,11.103,14.217,17.918,19.393,11.568,8.907,10.238,16.623,18.103,20.641
150,2025-09-15T01:00:00,11.115,14.022,17.897,19.303,11.617,8.710,10.163,16.668,18.185,20.659
