# river=cottonwood scale_factor=5000.0 threshold=1680.197
frame	cfs	norm	scaled	high_variation
257	290.3	0.0097	1.94	0
258	259.7	0.0087	1.73	0
259	235.8	0.0079	1.57	0
260	216.2	0.0072	1.44	0
261	200.6	0.0067	1.34	0
262	188.2	0.0063	1.25	0
263	178.9	0.006	1.19	0
264	169.6	0.0057	1.13	0
265	166.8	0.0056	1.11	0
266	234.6	0.0078	1.56	0
267	523.3	0.0174	3.49	0
268	833.3	0.0278	5.56	0
269	653.0	0.0218	4.35	0
270	522.1	0.0174	3.48	0
271	445.3	0.0148	2.97	0
272	400.7	0.0134	2.67	0
273	550.9	0.0184	3.67	0
274	2201.2	0.0734	14.67	0
275	1641.0	0.0547	10.94	0
276	1241.8	0.0414	8.28	0
277	970.1	0.0323	6.47	0
278	810.0	0.027	5.4	0
279	730.3	0.0243	4.87	0
280	728.8	0.0243	4.86	0
281	678.3	0.0226	4.52	0
282	614.0	0.0205	4.09	0
283	559.9	0.0187	3.73	0
284	518.8	0.0173	3.46	0
285	482.4	0.0161	3.22	0
286	454.9	0.0152	3.03	0
287	428.1	0.0143	2.85	0
288	406.9	0.0136	2.71	0
289	385.3	0.0128	2.57	0
290	368.3	0.0123	2.46	0
291	352.2	0.0117	2.35	0
292	338.2	0.0113	2.25	0
293	324.8	0.0108	2.17	0
294	313.6	0.0105	2.09	0
295	304.1	0.0101	2.03	0
296	295.0	0.0098	1.97	0
297	288.0	0.0096	1.92	0
298	280.2	0.0093	1.87	0
299	273.4	0.0091	1.82	0
300	267.1	0.0089	1.78	0
301	262.0	0.0087	1.75	0
302	255.7	0.0085	1.7	0
303	249.7	0.0083	1.66	0
304	246.4	0.0082	1.64	0
305	313.5	0.0104	2.09	0
306	337.6	0.0113	2.25	0
307	336.3	0.0112	2.24	0
308	332.5	0.0111	2.22	0
309	328.0	0.0109	2.19	0
310	318.4	0.0106	2.12	0
311	250.1	0.0083	1.67	0
312	232.7	0.0078	1.55	0
313	226.8	0.0076	1.51	0
314	222.8	0.0074	1.49	0
315	207.5	0.0069	1.38	0
316	196.6	0.0066	1.31	0
317	190.4	0.0063	1.27	0
318	185.7	0.0062	1.24	0
319	183.7	0.0061	1.22	0
320	182.0	0.0061	1.21	0
321	179.3	0.006	1.2	0
322	177.4	0.0059	1.18	0
323	175.2	0.0058	1.17	0
324	173.1	0.0058	1.15	0
325	171.2	0.0057	1.14	0
326	169.6	0.0057	1.13	0
327	167.3	0.0056	1.12	0
328	165.8	0.0055	1.11	0
329	164.4	0.0055	1.1	0
330	166.0	0.0055	1.11	0
331	192.5	0.0064	1.28	0
332	528.4	0.0176	3.52	0
333	1296.1	0.0432	8.64	0
334	1260.8	0.042	8.41	0
335	877.1	0.0292	5.85	0
336	750.9	0.025	5.01	0
337	2281.9	0.0761	15.21	0
338	2674.7	0.0892	17.83	0
339	1984.2	0.0661	13.23	0
340	3288.6	0.1096	21.92	0
341	12564.1	0.4188	83.76	0
342	12301.0	0.41	82.01	0
343	5732.9	0.1911	38.22	1
344	4559.0	0.152	30.39	1
345	4205.1	0.1402	28.03	1
346	13634.1	0.4545	90.89	1
347	8236.1	0.2745	54.91	1
348	9989.6	0.333	66.6	1
349	7646.0	0.2549	50.97	1
350	7164.9	0.2388	47.77	1
351	12704.7	0.4235	84.7	1
352	6491.8	0.2164	43.28	1
353	4538.8	0.1513	30.26	1
354	3672.0	0.1224	24.48	1
355	3170.0	0.1057	21.13	1
356	2787.6	0.0929	18.58	1
357	2440.8	0.0814	16.27	1
358	2183.1	0.0728	14.55	1
359	2022.0	0.0674	13.48	0
360	1901.0	0.0634	12.67	0
361	1885.3	0.0628	12.57	0
362	2419.8	0.0807	16.13	0
363	3247.8	0.1083	21.65	0
364	4177.6	0.1393	27.85	0
365	7018.4	0.2339	46.79	0
366	6264.5	0.2088	41.76	0
367	6082.2	0.2027	40.55	0
368	6909.8	0.2303	46.07	0
369	6460.8	0.2154	43.07	0
370	12925.3	0.4308	86.17	0
371	13330.6	0.4444	88.87	0
372	7386.9	0.2462	49.25	1
373	5373.3	0.1791	35.82	1
374	4489.2	0.1496	29.93	1
375	4060.2	0.1353	27.07	1
376	3641.0	0.1214	24.27	1
377	3311.8	0.1104	22.08	1
378	3033.7	0.1011	20.22	1
379	2719.4	0.0906	18.13	1
380	2417.3	0.0806	16.12	0
381	2206.5	0.0736	14.71	0
382	2074.1	0.0691	13.83	0
383	1926.1	0.0642	12.84	0
384	1811.6	0.0604	12.08	0
385	1709.4	0.057	11.4	0
386	1617.1	0.0539	10.78	0
387	1539.0	0.0513	10.26	0
388	1482.0	0.0494	9.88	0
389	1424.8	0.0475	9.5	0
390	1310.6	0.0437	8.74	0
391	1198.6	0.04	7.99	0
392	1141.2	0.038	7.61	0
393	1102.9	0.0368	7.35	0
394	1119.0	0.0373	7.46	0
395	1099.6	0.0367	7.33	0
396	1049.2	0.035	6.99	0
397	1012.4	0.0337	6.75	0
398	978.0	0.0326	6.52	0
399	941.9	0.0314	6.28	0
400	909.9	0.0303	6.07	0
401	882.4	0.0294	5.88	0
402	855.2	0.0285	5.7	0
403	835.2	0.0278	5.57	0
404	805.4	0.0268	5.37	0
405	784.9	0.0262	5.23	0
406	762.5	0.0254	5.08	0
407	745.0	0.0248	4.97	0
408	726.9	0.0242	4.85	0
409	709.3	0.0236	4.73	0
410	688.8	0.023	4.59	0
411	674.9	0.0225	4.5	0
412	659.6	0.022	4.4	0
413	648.8	0.0216	4.33	0
414	635.0	0.0212	4.23	0
415	630.0	0.021	4.2	0
416	627.1	0.0209	4.18	0
417	627.0	0.0209	4.18	0
418	605.7	0.0202	4.04	0
419	595.7	0.0199	3.97	0
420	581.0	0.0194	3.87	0
421	572.0	0.0191	3.81	0
422	543.6	0.0181	3.62	0
423	532.8	0.0178	3.55	0
424	524.1	0.0175	3.49	0
425	515.2	0.0172	3.43	0
426	504.3	0.0168	3.36	0
427	497.1	0.0166	3.31	0
428	486.4	0.0162	3.24	0
429	470.6	0.0157	3.14	0
430	462.1	0.0154	3.08	0
431	462.8	0.0154	3.09	0
432	456.4	0.0152	3.04	0
433	451.0	0.015	3.01	0
434	445.5	0.0148	2.97	0
435	438.2	0.0146	2.92	0
436	432.2	0.0144	2.88	0
437	427.7	0.0143	2.85	0
438	426.7	0.0142	2.84	0
439	433.8	0.0145	2.89	0
440	453.2	0.0151	3.02	0
441	445.2	0.0148	2.97	0
442	433.9	0.0145	2.89	0
443	471.6	0.0157	3.14	0
444	2185.2	0.0728	14.57	0
445	2263.9	0.0755	15.09	0
446	1532.7	0.0511	10.22	0
447	1100.9	0.0367	7.34	0
448	898.5	0.03	5.99	0
449	787.4	0.0262	5.25	0
450	725.4	0.0242	4.84	0
451	686.7	0.0229	4.58	0
452	958.8	0.032	6.39	0
453	6071.8	0.2024	40.48	0
454	3449.8	0.115	23.0	0
455	2615.7	0.0872	17.44	0
456	2764.7	0.0922	18.43	0
457	2252.7	0.0751	15.02	0
458	1862.9	0.0621	12.42	0
459	2319.8	0.0773	15.47	0
460	2779.0	0.0926	18.53	0
461	1969.0	0.0656	13.13	0
462	1661.2	0.0554	11.07	0
463	1491.8	0.0497	9.95	0
464	1360.6	0.0454	9.07	0
465	1280.0	0.0427	8.53	0
466	1306.9	0.0436	8.71	0
467	1434.7	0.0478	9.56	0
468	1656.5	0.0552	11.04	0
469	10631.6	0.3544	70.88	0
470	26283.7	0.8761	175.22	1
471	17038.8	0.568	113.59	1
472	9617.1	0.3206	64.11	1
473	6577.1	0.2192	43.85	1
474	5081.6	0.1694	33.88	1
475	4340.6	0.1447	28.94	1
476	3889.8	0.1297	25.93	1
477	3551.0	0.1184	23.67	1
478	3635.5	0.1212	24.24	1
479	3192.2	0.1064	21.28	1
480	3255.3	0.1085	21.7	1
481	2795.9	0.0932	18.64	0
482	2605.3	0.0868	17.37	0
483	2457.6	0.0819	16.38	0
484	2314.0	0.0771	15.43	0
485	2193.1	0.0731	14.62	0
486	2069.4	0.069	13.8	0
487	1978.2	0.0659	13.19	0
488	1851.8	0.0617	12.35	0
489	1765.4	0.0588	11.77	0
490	1649.2	0.055	10.99	0
491	1578.0	0.0526	10.52	0
492	1497.8	0.0499	9.99	0
493	1444.1	0.0481	9.63	0
494	1376.2	0.0459	9.17	0
495	1326.5	0.0442	8.84	0
496	1256.9	0.0419	8.38	0
497	1212.0	0.0404	8.08	0
498	1157.8	0.0386	7.72	0
499	1122.4	0.0374	7.48	0
500	1054.3	0.0351	7.03	0
501	1018.2	0.0339	6.79	0
502	985.8	0.0329	6.57	0
503	960.4	0.032	6.4	0
504	930.1	0.031	6.2	0
505	907.0	0.0302	6.05	0
506	880.8	0.0294	5.87	0
507	863.2	0.0288	5.75	0
508	840.5	0.028	5.6	0
509	825.8	0.0275	5.51	0
510	806.1	0.0269	5.37	0
511	789.3	0.0263	5.26	0
512	773.0	0.0258	5.15	0
513	761.0	0.0254	5.07	0
514	744.0	0.0248	4.96	0
515	724.4	0.0241	4.83	0
516	702.3	0.0234	4.68	0
517	688.3	0.0229	4.59	0
518	669.6	0.0223	4.46	0
519	651.2	0.0217	4.34	0
520	638.2	0.0213	4.25	0
521	634.2	0.0211	4.23	0
522	621.8	0.0207	4.15	0
523	606.2	0.0202	4.04	0
524	595.2	0.0198	3.97	0
525	580.3	0.0193	3.87	0
526	565.4	0.0188	3.77	0
527	553.3	0.0184	3.69	0
