# river=shasta scale_factor=763.0 threshold=42.123
frame	cfs	norm	scaled	high_variation
244	167.0	0.2189	43.77	0
245	158.0	0.2071	41.42	0
246	167.0	0.2189	43.77	0
247	158.0	0.2071	41.42	0
248	158.0	0.2071	41.42	0
249	164.0	0.2149	42.99	0
250	155.0	0.2031	40.63	0
251	200.0	0.2621	52.42	0
252	177.0	0.232	46.4	0
253	197.0	0.2582	51.64	0
254	193.0	0.2529	50.59	0
255	207.0	0.2713	54.26	0
256	210.0	0.2752	55.05	0
257	190.0	0.249	49.8	0
258	193.0	0.2529	50.59	0
259	177.0	0.232	46.4	0
260	183.0	0.2398	47.97	0
261	171.0	0.2241	44.82	0
262	174.0	0.228	45.61	0
263	168.0	0.2202	44.04	0
264	165.0	0.2163	43.25	0
265	174.0	0.228	45.61	0
266	174.0	0.228	45.61	0
267	162.0	0.2123	42.46	0
268	174.0	0.228	45.61	0
269	162.0	0.2123	42.46	0
270	165.0	0.2163	43.25	0
271	180.0	0.2359	47.18	0
272	171.0	0.2241	44.82	0
273	180.0	0.2359	47.18	0
274	171.0	0.2241	44.82	0
275	181.0	0.2372	47.44	0
276	171.0	0.2241	44.82	0
277	181.0	0.2372	47.44	0
278	171.0	0.2241	44.82	0
279	181.0	0.2372	47.44	0
280	178.0	0.2333	46.66	0
281	168.0	0.2202	44.04	0
282	168.0	0.2202	44.04	0
283	178.0	0.2333	46.66	0
284	175.0	0.2294	45.87	0
285	162.0	0.2123	42.46	0
286	171.0	0.2241	44.82	0
287	162.0	0.2123	42.46	0
288	162.0	0.2123	42.46	0
289	172.0	0.2254	45.09	0
290	172.0	0.2254	45.09	0
291	159.0	0.2084	41.68	0
292	162.0	0.2123	42.46	0
293	172.0	0.2254	45.09	0
294	172.0	0.2254	45.09	0
295	163.0	0.2136	42.73	0
296	169.0	0.2215	44.3	0
297	160.0	0.2097	41.94	0
298	163.0	0.2136	42.73	0
299	172.0	0.2254	45.09	0
300	166.0	0.2176	43.51	0
301	172.0	0.2254	45.09	0
302	172.0	0.2254	45.09	0
303	163.0	0.2136	42.73	0
304	172.0	0.2254	45.09	0
305	160.0	0.2097	41.94	0
306	169.0	0.2215	44.3	0
307	154.0	0.2018	40.37	0
308	163.0	0.2136	42.73	0
309	154.0	0.2018	40.37	0
310	157.0	0.2058	41.15	0
311	166.0	0.2176	43.51	0
312	166.0	0.2176	43.51	0
313	160.0	0.2097	41.94	0
314	157.0	0.2058	41.15	0
315	166.0	0.2176	43.51	0
316	166.0	0.2176	43.51	0
317	160.0	0.2097	41.94	0
318	166.0	0.2176	43.51	0
319	157.0	0.2058	41.15	0
320	163.0	0.2136	42.73	0
321	157.0	0.2058	41.15	0
322	163.0	0.2136	42.73	0
323	157.0	0.2058	41.15	0
324	157.0	0.2058	41.15	0
325	166.0	0.2176	43.51	0
326	163.0	0.2136	42.73	0
327	172.0	0.2254	45.09	0
328	172.0	0.2254	45.09	0
329	163.0	0.2136	42.73	0
330	166.0	0.2176	43.51	0
331	185.0	0.2425	48.49	0
332	185.0	0.2425	48.49	0
333	215.0	0.2818	56.36	0
334	208.0	0.2726	54.52	0
335	225.0	0.2949	58.98	0
336	215.0	0.2818	56.36	0
337	266.0	0.3486	69.72	0
338	232.0	0.3041	60.81	0
339	254.0	0.3329	66.58	0
340	251.0	0.329	65.79	0
341	628.0	0.8231	164.61	1
342	643.0	0.8427	168.55	1
343	516.0	0.6763	135.26	1
344	472.0	0.6186	123.72	1
345	566.0	0.7418	148.36	1
346	562.0	0.7366	147.31	1
347	643.0	0.8427	168.55	1
348	677.0	0.8873	177.46	1
349	609.0	0.7982	159.63	1
350	658.0	0.8624	172.48	1
351	743.0	0.9738	194.76	1
352	700.0	0.9174	183.49	1
353	606.0	0.7942	158.85	1
354	606.0	0.7942	158.85	1
355	479.0	0.6278	125.56	1
356	482.0	0.6317	126.34	1
357	372.0	0.4875	97.51	1
358	369.0	0.4836	96.72	1
359	315.0	0.4128	82.57	1
360	318.0	0.4168	83.36	1
361	304.0	0.3984	79.69	1
362	309.0	0.405	81.0	0
363	326.0	0.4273	85.45	0
364	318.0	0.4168	83.36	0
365	347.0	0.4548	90.96	0
366	332.0	0.4351	87.02	0
367	378.0	0.4954	99.08	0
368	369.0	0.4836	96.72	0
369	432.0	0.5662	113.24	0
370	439.0	0.5754	115.07	0
371	403.0	0.5282	105.64	0
372	406.0	0.5321	106.42	0
373	344.0	0.4509	90.17	0
374	344.0	0.4509	90.17	0
375	290.0	0.3801	76.02	0
376	293.0	0.384	76.8	0
377	269.0	0.3526	70.51	0
378	277.0	0.363	72.61	0
379	255.0	0.3342	66.84	0
380	264.0	0.346	69.2	0
381	247.0	0.3237	64.74	0
382	255.0	0.3342	66.84	0
383	244.0	0.3198	63.96	0
384	250.0	0.3277	65.53	0
385	241.0	0.3159	63.17	0
386	247.0	0.3237	64.74	0
387	236.0	0.3093	61.86	0
388	244.0	0.3198	63.96	0
389	236.0	0.3093	61.86	0
390	236.0	0.3093	61.86	0
391	244.0	0.3198	63.96	0
392	230.0	0.3014	60.29	0
393	241.0	0.3159	63.17	0
394	230.0	0.3014	60.29	0
395	241.0	0.3159	63.17	0
396	238.0	0.3119	62.39	0
397	233.0	0.3054	61.07	0
398	233.0	0.3054	61.07	0
399	241.0	0.3159	63.17	0
400	233.0	0.3054	61.07	0
401	241.0	0.3159	63.17	0
402	241.0	0.3159	63.17	0
403	230.0	0.3014	60.29	0
404	236.0	0.3093	61.86	0
405	244.0	0.3198	63.96	0
406	241.0	0.3159	63.17	0
407	233.0	0.3054	61.07	0
408	241.0	0.3159	63.17	0
409	227.0	0.2975	59.5	0
410	224.0	0.2936	58.72	0
411	233.0	0.3054	61.07	0
412	230.0	0.3014	60.29	0
413	221.0	0.2896	57.93	0
414	227.0	0.2975	59.5	0
415	218.0	0.2857	57.14	0
416	227.0	0.2975	59.5	0
417	215.0	0.2818	56.36	0
418	221.0	0.2896	57.93	0
419	212.0	0.2779	55.57	0
420	215.0	0.2818	56.36	0
421	224.0	0.2936	58.72	0
422	221.0	0.2896	57.93	0
423	215.0	0.2818	56.36	0
424	215.0	0.2818	56.36	0
425	230.0	0.3014	60.29	0
426	221.0	0.2896	57.93	0
427	212.0	0.2779	55.57	0
428	221.0	0.2896	57.93	0
429	212.0	0.2779	55.57	0
430	221.0	0.2896	57.93	0
431	212.0	0.2779	55.57	0
432	218.0	0.2857	57.14	0
433	212.0	0.2779	55.57	0
434	221.0	0.2896	57.93	0
435	210.0	0.2752	55.05	0
436	212.0	0.2779	55.57	0
437	224.0	0.2936	58.72	0
438	215.0	0.2818	56.36	0
439	264.0	0.346	69.2	0
440	258.0	0.3381	67.63	0
441	280.0	0.367	73.39	0
442	266.0	0.3486	69.72	0
443	253.0	0.3316	66.32	0
444	258.0	0.3381	67.63	0
445	247.0	0.3237	64.74	0
446	253.0	0.3316	66.32	0
447	238.0	0.3119	62.39	0
448	244.0	0.3198	63.96	0
449	236.0	0.3093	61.86	0
450	233.0	0.3054	61.07	0
451	241.0	0.3159	63.17	0
452	241.0	0.3159	63.17	0
453	233.0	0.3054	61.07	0
454	233.0	0.3054	61.07	0
455	247.0	0.3237	64.74	0
456	244.0	0.3198	63.96	0
457	255.0	0.3342	66.84	0
458	258.0	0.3381	67.63	0
459	244.0	0.3198	63.96	0
460	253.0	0.3316	66.32	0
461	244.0	0.3198	63.96	0
462	253.0	0.3316	66.32	0
463	236.0	0.3093	61.86	0
464	241.0	0.3159	63.17	0
465	230.0	0.3014	60.29	0
466	238.0	0.3119	62.39	0
467	227.0	0.2975	59.5	0
468	230.0	0.3014	60.29	0
469	403.0	0.5282	105.64	0
470	406.0	0.5321	106.42	0
471	763.0	1.0	200.0	1
472	735.0	0.9633	192.66	1
473	523.0	0.6855	137.09	1
474	523.0	0.6855	137.09	1
475	397.0	0.5203	104.06	1
476	397.0	0.5203	104.06	1
477	341.0	0.4469	89.38	1
478	338.0	0.443	88.6	1
479	530.0	0.6946	138.93	1
480	534.0	0.6999	139.97	1
481	381.0	0.4993	99.87	1
482	384.0	0.5033	100.66	1
483	324.0	0.4246	84.93	1
484	329.0	0.4312	86.24	1
485	315.0	0.4128	82.57	1
486	318.0	0.4168	83.36	1
487	296.0	0.3879	77.59	1
488	301.0	0.3945	78.9	1
489	290.0	0.3801	76.02	0
490	293.0	0.384	76.8	0
491	274.0	0.3591	71.82	0
492	283.0	0.3709	74.18	0
493	269.0	0.3526	70.51	0
494	277.0	0.363	72.61	0
495	264.0	0.346	69.2	0
496	274.0	0.3591	71.82	0
497	258.0	0.3381	67.63	0
498	264.0	0.346	69.2	0
499	250.0	0.3277	65.53	0
500	255.0	0.3342	66.84	0
501	241.0	0.3159	63.17	0
502	250.0	0.3277	65.53	0
503	236.0	0.3093	61.86	0
504	244.0	0.3198	63.96	0
505	233.0	0.3054	61.07	0
506	238.0	0.3119	62.39	0
507	230.0	0.3014	60.29	0
508	236.0	0.3093	61.86	0
509	224.0	0.2936	58.72	0
510	233.0	0.3054	61.07	0
511	218.0	0.2857	57.14	0
512	218.0	0.2857	57.14	0
513	227.0	0.2975	59.5	0
514	227.0	0.2975	59.5	0
515	218.0	0.2857	57.14	0
516	227.0	0.2975	59.5	0
517	212.0	0.2779	55.57	0
518	221.0	0.2896	57.93	0
519	212.0	0.2779	55.57	0
520	210.0	0.2752	55.05	0
521	221.0	0.2896	57.93	0
522	221.0	0.2896	57.93	0
523	210.0	0.2752	55.05	0
524	218.0	0.2857	57.14	0
525	207.0	0.2713	54.26	0
526	212.0	0.2779	55.57	0
527	197.0	0.2582	51.64	0
528	193.0	0.2529	50.59	0
529	206.0	0.27	54.0	0
530	203.0	0.2661	53.21	0
531	186.0	0.2438	48.75	0
532	189.0	0.2477	49.54	0
533	199.0	0.2608	52.16	0
534	195.0	0.2556	51.11	0
535	202.0	0.2647	52.95	0
536	194.0	0.2543	50.85	0
537	204.0	0.2674	53.47	0
538	201.0	0.2634	52.69	0
539	215.0	0.2818	56.36	0
540	203.0	0.2661	53.21	0
541	164.0	0.2149	42.99	0
542	161.0	0.211	42.2	0
543	151.0	0.1979	39.58	0
544	151.0	0.1979	39.58	0
545	157.0	0.2058	41.15	0
546	148.0	0.194	38.79	0
547	162.0	0.2123	42.46	0
548	150.0	0.1966	39.32	0
549	159.0	0.2084	41.68	0
550	153.0	0.2005	40.1	0
551	122.0	0.1599	31.98	0
552	125.0	0.1638	32.77	0
553	117.0	0.1533	30.67	0
554	122.0	0.1599	31.98	0
555	137.0	0.1796	35.91	0
556	134.0	0.1756	35.12	0
557	151.0	0.1979	39.58	0
558	153.0	0.2005	40.1	0
559	144.0	0.1887	37.75	0
560	142.0	0.1861	37.22	0
561	180.0	0.2359	47.18	0
562	180.0	0.2359	47.18	0
563	193.0	0.2529	50.59	0
564	193.0	0.2529	50.59	0
565	166.0	0.2176	43.51	0
566	169.0	0.2215	44.3	0
567	145.0	0.19	38.01	0
568	145.0	0.19	38.01	0
569	162.0	0.2123	42.46	0
570	159.0	0.2084	41.68	0
571	147.0	0.1927	38.53	0
572	152.0	0.1992	39.84	0
573	135.0	0.1769	35.39	0
574	152.0	0.1992	39.84	0
575	132.0	0.173	34.6	0
576	143.0	0.1874	37.48	0
577	132.0	0.173	34.6	0
578	132.0	0.173	34.6	0
579	165.0	0.2163	43.25	0
580	168.0	0.2202	44.04	0
581	153.0	0.2005	40.1	0
582	159.0	0.2084	41.68	0
583	141.0	0.1848	36.96	0
584	138.0	0.1809	36.17	0
585	155.0	0.2031	40.63	0
586	143.0	0.1874	37.48	0
587	124.0	0.1625	32.5	0
588	124.0	0.1625	32.5	0
589	134.0	0.1756	35.12	0
590	129.0	0.1691	33.81	0
591	118.0	0.1547	30.93	0
592	113.0	0.1481	29.62	0
593	139.0	0.1822	36.44	0
594	116.0	0.152	30.41	0
595	97.8	0.1282	25.64	0
596	99.8	0.1308	26.16	0
597	89.6	0.1174	23.49	0
598	93.1	0.122	24.4	0
599	103.0	0.135	27.0	0
600	103.0	0.135	27.0	0
601	93.1	0.122	24.4	0
602	101.0	0.1324	26.47	0
603	91.3	0.1197	23.93	0
604	85.7	0.1123	22.46	0
605	93.5	0.1225	24.51	0
606	91.5	0.1199	23.98	0
607	99.6	0.1305	26.11	0
608	93.7	0.1228	24.56	0
609	86.0	0.1127	22.54	0
610	86.1	0.1128	22.57	0
611	99.9	0.1309	26.19	0
612	97.9	0.1283	25.66	0
613	67.3	0.0882	17.64	0
614	72.3	0.0948	18.95	0
615	81.0	0.1062	21.23	0
616	79.2	0.1038	20.76	0
617	88.5	0.116	23.2	0
618	79.4	0.1041	20.81	0
619	86.8	0.1138	22.75	0
620	86.8	0.1138	22.75	0
621	72.7	0.0953	19.06	0
622	76.1	0.0997	19.95	0
623	64.7	0.0848	16.96	0
624	63.2	0.0828	16.57	0
625	72.9	0.0955	19.11	0
626	66.5	0.0872	17.43	0
627	87.4	0.1145	22.91	0
628	95.2	0.1248	24.95	0
629	87.5	0.1147	22.94	0
630	83.8	0.1098	21.97	0
631	89.5	0.1173	23.46	0
632	91.5	0.1199	23.98	0
633	82.2	0.1077	21.55	0
634	84.1	0.1102	22.04	0
635	71.8	0.0941	18.82	0
636	68.7	0.09	18.01	0
637	84.3	0.1105	22.1	0
638	73.7	0.0966	19.32	0
639	65.6	0.086	17.2	0
640	65.7	0.0861	17.22	0
641	79.1	0.1037	20.73	0
642	82.8	0.1085	21.7	0
643	69.1	0.0906	18.11	0
644	79.4	0.1041	20.81	0
645	70.9	0.0929	18.58	0
646	76.0	0.0996	19.92	0
647	67.7	0.0887	17.75	0
648	71.1	0.0932	18.64	0
649	61.6	0.0807	16.15	0
650	61.6	0.0807	16.15	0
651	118.0	0.1547	30.93	0
652	114.0	0.1494	29.88	0
653	145.0	0.19	38.01	0
654	142.0	0.1861	37.22	0
655	171.0	0.2241	44.82	0
656	168.0	0.2202	44.04	0
657	156.0	0.2045	40.89	0
658	159.0	0.2084	41.68	0
659	136.0	0.1782	35.65	0
660	141.0	0.1848	36.96	0
661	122.0	0.1599	31.98	0
662	125.0	0.1638	32.77	0
663	108.0	0.1415	28.31	0
664	115.0	0.1507	30.14	0
665	99.6	0.1305	26.11	0
666	104.0	0.1363	27.26	0
667	97.4	0.1277	25.53	0
668	103.0	0.135	27.0	0
669	85.6	0.1122	22.44	0
670	93.1	0.122	24.4	0
671	81.7	0.1071	21.42	0
672	81.5	0.1068	21.36	0
673	90.8	0.119	23.8	0
674	86.8	0.1138	22.75	0
675	101.0	0.1324	26.47	0
676	103.0	0.135	27.0	0
677	81.1	0.1063	21.26	0
678	77.4	0.1014	20.29	0
679	90.2	0.1182	23.64	0
680	92.1	0.1207	24.14	0
681	73.7	0.0966	19.32	0
682	73.7	0.0966	19.32	0
683	43.2	0.0566	11.32	0
684	53.5	0.0701	14.02	0
685	48.1	0.063	12.61	0
686	50.7	0.0664	13.29	0
687	41.8	0.0548	10.96	0
688	47.9	0.0628	12.56	0
689	33.8	0.0443	8.86	0
690	31.8	0.0417	8.34	0
691	53.1	0.0696	13.92	0
692	38.2	0.0501	10.01	0
693	58.8	0.0771	15.41	0
694	53.1	0.0696	13.92	0
695	74.7	0.0979	19.58	0
696	73.0	0.0957	19.13	0
697	66.5	0.0872	17.43	0
698	66.5	0.0872	17.43	0
699	53.1	0.0696	13.92	0
700	60.3	0.079	15.81	0
701	50.4	0.0661	13.21	0
702	40.4	0.0529	10.59	0
703	54.5	0.0714	14.29	0
704	47.8	0.0626	12.53	0
705	57.4	0.0752	15.05	0
706	61.8	0.081	16.2	0
707	51.8	0.0679	13.58	0
708	51.8	0.0679	13.58	0
709	58.8	0.0771	15.41	0
710	50.4	0.0661	13.21	0
711	61.8	0.081	16.2	0
712	61.8	0.081	16.2	0
713	57.4	0.0752	15.05	0
714	61.8	0.081	16.2	0
715	54.5	0.0714	14.29	0
716	53.1	0.0696	13.92	0
717	63.3	0.083	16.59	0
718	68.1	0.0893	17.85	0
719	54.5	0.0714	14.29	0
